family_id,id,language,slug,question,options,correct_indicators,correct_answer,anecdote,image,categories,associated_series,translations,source
"sxsw-history","629","fr","quel-festival-a-debute-comme-une-conference-de-technologie-avant-de-devenir-celebre-pour-sa-musique-live","Quel festival a débuté comme festival de musique en 1987 avant d’ajouter le cinéma et Interactive ?","[""SXSW (South by Southwest)"",""Coachella"",""Tomorrowland"",""Ultra Music Festival""]","[true,false,false,false]","SXSW (South by Southwest)","SXSW a débuté à Austin en 1987 comme festival et conférence consacrés à la musique, afin de donner davantage de visibilité à la scène musicale locale. Les volets Film et Interactive ont été ajoutés en 1994. Aujourd’hui, SXSW réunit musique, cinéma, technologie, éducation et culture, mais son origine est musicale — et non une conférence technologique.","642","[]","[626]","{""fr"":629,""en"":4518,""de"":6239,""es"":8000}","{""url"":""https://sxsw.com/about/history/"",""label"":""SXSW — History of SXSW"",""reviewedAt"":""2026-08-09""}"
"sxsw-history","4518","en","which-festival-started-as-a-technology-conference-before-becoming-famous-for-its-live-music","Which festival began as a music festival in 1987 before later adding Film and Interactive?","[""SXSW (South by Southwest)"",""Coachella"",""Tomorrowland"",""Ultra Music Festival""]","[true,false,false,false]","SXSW (South by Southwest)","SXSW began in Austin in 1987 as a music festival and conference created to give the city’s music community greater exposure. In 1994, Film and Interactive were added. Today, SXSW brings together music, film, technology, education and culture, but its origin was music—not a technology conference.","4519","[]","[3156]","{""en"":4518,""fr"":629,""de"":6239,""es"":8000}","{""url"":""https://sxsw.com/about/history/"",""label"":""SXSW — History of SXSW"",""reviewedAt"":""2026-08-09""}"
"sxsw-history","6239","de","welches-festival-begann-1987-mit-musik-und-erganzte-spater-die-bereiche-film-und-interactive","Welches Festival begann 1987 mit Musik und ergänzte später die Bereiche Film und Interactive?","[""SXSW (South by Southwest)"",""Coachella"",""Tomorrowland"",""Ultra Music Festival""]","[true,false,false,false]","SXSW (South by Southwest)","SXSW begann 1987 in Austin als Musikfestival und Konferenz, die der lokalen Szene mehr Aufmerksamkeit verschaffen sollte. 1994 kamen die Bereiche Film und Interactive hinzu.

Heute verbindet die Veranstaltung Musik, Film, Technik, Bildung und Kultur. Ihre Wurzeln liegen jedoch eindeutig in der Musik und nicht, wie manchmal angenommen, in einer Technologiekonferenz.","4519","[]","[5450]","{""de"":6239,""en"":4518,""fr"":629,""es"":8000}","{""url"":""https://sxsw.com/about/history/"",""label"":""SXSW — History of SXSW"",""reviewedAt"":""2026-08-09""}"
"sxsw-history","8000","es","que-festival-comenzo-como-encuentro-musical-en-1987-y-anadio-despues-las-secciones-de-cine-e-interactividad","¿Qué festival comenzó como encuentro musical en 1987 y añadió después las secciones de Cine e Interactividad?","[""SXSW (South by Southwest)"",""Coachella"",""Tomorrowland"",""Ultra Music Festival""]","[true,false,false,false]","SXSW (South by Southwest)","SXSW nació en Austin en 1987 como festival y conferencia musical destinados a dar mayor visibilidad a la escena de la ciudad. Las secciones de Cine e Interactividad se añadieron en 1994.

Hoy reúne música, cine, tecnología, educación y cultura, pero su origen estuvo en la música y no en una conferencia tecnológica.","4519","[]","[7211]","{""es"":8000,""en"":4518,""fr"":629,""de"":6239}","{""url"":""https://sxsw.com/about/history/"",""label"":""SXSW — History of SXSW"",""reviewedAt"":""2026-08-09""}"
"maroon-communities","1262","fr","quel-peuple-autochtone-est-celebre-pour-son-role-central-dans-la-revolution-haitienne-menant-a-lindependance-du-pays-en-1804","Quelles communautés d’Africains ayant échappé à l’esclavage ont contribué au déclenchement de la Révolution haïtienne ?","[""Les Tainos"",""Les Arawaks"",""Les Caribes"",""Les Marrons""]","[false,false,false,true]","Les Marrons","Les communautés marronnes étaient formées d’Africains ayant échappé à l’esclavage et de leurs descendants. Dans la colonie française de Saint-Domingue, elles ont résisté au pouvoir colonial et contribué au déclenchement de la Révolution haïtienne, qui mena à l’indépendance d’Haïti en 1804. Il ne s’agissait pas d’un peuple autochtone : leur histoire relève surtout de la diaspora africaine et de la résistance à l’esclavage.","1317","[]","[1255]","{""fr"":1262,""en"":4087,""de"":6024,""es"":7785}","{""url"":""https://folkways.si.edu/rebel-tour-maroon-communities/african-amerian-struggle-protest/music/article/smithsonian"",""label"":""Smithsonian Folkways — Maroon communities"",""reviewedAt"":""2026-08-09""}"
"maroon-communities","4087","en","which-indigenous-people-are-famous-for-their-central-role-in-the-haitian-revolution-of-1804","Which communities of self-liberated Africans helped launch the Haitian Revolution?","[""The Tainos"",""The Arawaks"",""The Caribs"",""The Maroons""]","[false,false,false,true]","The Maroons","Maroon communities were formed by Africans who escaped slavery and their descendants. In the French colony of Saint-Domingue, Maroons resisted colonial rule and helped launch the Haitian Revolution, which led to Haiti’s independence in 1804. They were not an Indigenous people: their history is rooted chiefly in the African diaspora and resistance to enslavement.","1318","[]","[3171]","{""en"":4087,""fr"":1262,""de"":6024,""es"":7785}","{""url"":""https://folkways.si.edu/rebel-tour-maroon-communities/african-amerian-struggle-protest/music/article/smithsonian"",""label"":""Smithsonian Folkways — Maroon communities"",""reviewedAt"":""2026-08-09""}"
"maroon-communities","6024","de","welche-gemeinschaften-selbstbefreiter-afrikaner-trugen-zum-beginn-der-haitianischen-revolution-bei","Welche Gemeinschaften selbstbefreiter Afrikaner trugen zum Beginn der Haitianischen Revolution bei?","[""Taíno"",""Arawak"",""Kariben"",""Maroons""]","[false,false,false,true]","Maroons","Maroons waren aus der Sklaverei geflohene Afrikaner und ihre Nachkommen. In der französischen Kolonie Saint-Domingue widersetzten sich ihre Gemeinschaften der Kolonialherrschaft und wirkten an den Kämpfen mit, die 1804 zur Unabhängigkeit Haitis führten.

Sie waren kein indigenes Volk der Karibik; ihre Geschichte gehört zur afrikanischen Diaspora und zum Widerstand gegen Versklavung.","1318","[]","[5465]","{""de"":6024,""en"":4087,""fr"":1262,""es"":7785}","{""url"":""https://folkways.si.edu/rebel-tour-maroon-communities/african-amerian-struggle-protest/music/article/smithsonian"",""label"":""Smithsonian Folkways — Maroon communities"",""reviewedAt"":""2026-08-09""}"
"maroon-communities","7785","es","que-comunidades-de-africanos-que-se-liberaron-de-la-esclavitud-ayudaron-a-impulsar-la-revolucion-haitiana","¿Qué comunidades de africanos que se liberaron de la esclavitud ayudaron a impulsar la Revolución haitiana?","[""Los taínos"",""Los arahuacos"",""Los caribes"",""Los cimarrones""]","[false,false,false,true]","Los cimarrones","Las comunidades cimarronas estaban formadas por africanos que habían escapado de la esclavitud y por sus descendientes. Crearon asentamientos autónomos, preservaron prácticas culturales y resistieron tanto a los propietarios esclavistas como al poder colonial.

En la colonia francesa de Saint-Domingue participaron en esa resistencia y contribuyeron al proceso revolucionario que desembocó en la independencia de Haití en 1804. No constituían un pueblo indígena del Caribe: su historia pertenece principalmente a la diáspora africana, a la lucha contra la esclavitud y a la formación de nuevas comunidades libres en América.","1318","[]","[7226]","{""es"":7785,""en"":4087,""fr"":1262,""de"":6024}","{""url"":""https://folkways.si.edu/rebel-tour-maroon-communities/african-amerian-struggle-protest/music/article/smithsonian"",""label"":""Smithsonian Folkways — Maroon communities"",""reviewedAt"":""2026-08-09""}"
"javelin-record","2437","fr","quel-athlete-detient-le-record-du-monde-du-lancer-du-javelot-masculin","Quel athlète détient le record du monde du lancer du javelot masculin ?","[""Andreas Thorkildsen"",""Uwe Hohn"",""Jan Železný"",""Johannes Vetter""]","[false,false,true,false]","Jan Železný","Jan Železný détient le record du monde masculin du lancer du javelot avec 98,48 m, réalisés à Iéna, en Allemagne, le 25 mai 1996. World Athletics le classe toujours en tête de la liste mondiale, devant Johannes Vetter et ses 97,76 m. Le Tchèque a également remporté trois titres olympiques. Record vérifié le 9 août 2026.","2848","[]","[2432]","{""fr"":2437,""en"":3702,""de"":5706,""es"":7467}","{""url"":""https://worldathletics.org/records/all-time-toplists/throws/javelin-throw/all/men/senior"",""label"":""World Athletics — Javelin Throw Men"",""reviewedAt"":""2026-08-09""}"
"javelin-record","3702","en","which-athlete-holds-the-mens-world-javelin-throw-record","Which athlete holds the men&#8217;s world javelin throw record?","[""Andreas Thorkildsen"",""Uwe Hohn"",""Jan Železný"",""Johannes Vetter""]","[false,false,true,false]","Jan Železný","Jan Železný holds the men’s javelin world record with 98.48m, achieved in Jena, Germany, on 25 May 1996. World Athletics still ranks him first on the all-time list, ahead of Johannes Vetter’s 97.76m. The Czech athlete also won three Olympic titles. Record checked on 9 August 2026.","3703","[]","[3209]","{""en"":3702,""fr"":2437,""de"":5706,""es"":7467}","{""url"":""https://worldathletics.org/records/all-time-toplists/throws/javelin-throw/all/men/senior"",""label"":""World Athletics — Javelin Throw Men"",""reviewedAt"":""2026-08-09""}"
